episode,score,return,epsilon,best_score,steps,loss
287,0,-5.0621,0.8909400000000001,1,7,0.004726249724626541
288,0,-5.0306,0.89056,1,4,0.002854004967957735
289,0,-5.0728,0.89018,1,8,0.002672404982149601
290,0,-5.3335,0.8898,1,30,0.004041193053126335
291,0,-5.0,0.88942,1,1,0.0019791463855654
292,0,-5.1505,0.88904,1,15,0.010909120552241802
293,0,-5.0203,0.88866,1,3,0.007102444302290678
294,0,-5.0101,0.88828,1,2,0.010227277874946594
295,0,-5.0,0.8879,1,1,0.008771196007728577
296,0,-5.0836,0.88752,1,9,0.006647569593042135
297,0,-5.0,0.88714,1,1,0.007356919348239899
298,0,-5.0101,0.88676,1,2,0.007392030209302902
299,0,-5.0306,0.88638,1,4,0.005560447461903095
300,0,-5.0621,0.886,1,7,0.003459790488705039
301,0,-5.0,0.8856200000000001,1,1,0.009272250346839428
302,0,-5.0101,0.88524,1,2,0.0054833353497087955
303,1,-4.6034,0.88486,1,12,0.006390181370079517
304,0,-5.0,0.88448,1,1,0.0063876984640955925
305,0,-5.0101,0.8841,1,2,0.00639604777097702
306,0,-5.0,0.8837200000000001,1,1,0.005466924048960209
307,0,-5.0515,0.88334,1,6,0.004489541985094547
308,0,-5.1505,0.88296,1,15,0.003489075694233179
309,0,-5.2331,0.88258,1,22,0.0027229280676692724
310,0,-5.0728,0.8822,1,8,0.0030780741944909096
311,0,-5.041,0.88182,1,5,0.0023728220257908106
312,0,-5.0621,0.88144,1,7,0.0029468629509210587
313,0,-5.0,0.88106,1,1,0.0021196643356233835
314,0,-5.0101,0.88068,1,2,0.0030351572204381227
315,0,-5.0,0.8803,1,1,0.002271286677569151
316,0,-5.0,0.87992,1,1,0.002869324991479516
317,0,-5.1278,0.87954,1,13,0.00384598970413208
318,0,-5.0515,0.8791599999999999,1,6,0.003689768258482218
319,0,-5.0101,0.87878,1,2,0.0022444543428719044
320,0,-5.0306,0.8784,1,4,0.004631479270756245
321,0,-5.0203,0.87802,1,3,0.002874715719372034
322,0,-5.0203,0.87764,1,3,0.002373180352151394
323,1,-4.6246,0.87726,1,14,0.0019878060556948185
324,0,-5.0203,0.87688,1,3,0.0015834125224500895
325,0,-5.1278,0.8765000000000001,1,13,0.0020955605432391167
326,0,-5.0515,0.87612,1,6,0.002081064274534583
327,0,-5.0306,0.87574,1,4,0.002271973295137286
328,0,-5.1853,0.87536,1,18,0.0014070176985114813
329,0,-5.0945,0.87498,1,10,0.0021172973792999983
330,0,-5.0,0.8746,1,1,0.0017718877643346786
331,0,-5.0306,0.87422,1,4,0.0018105646595358849
332,0,-5.0,0.87384,1,1,0.0030158478766679764
333,0,-5.1736,0.87346,1,17,0.00326363043859601
334,0,-5.0101,0.8730800000000001,1,2,0.0020236677955836058
335,0,-5.1055,0.8727,1,11,0.00243940157815814
336,0,-5.0,0.87232,1,1,0.0035139976534992456
337,0,-5.0,0.8719399999999999,1,1,0.003931089304387569
338,0,-5.1505,0.87156,1,15,0.005139631684869528
339,0,-5.0101,0.8711800000000001,1,2,0.0023956974036991596
340,0,-5.041,0.8708,1,5,0.002653033472597599
341,0,-5.1278,0.87042,1,13,0.0032723594922572374
342,0,-5.0728,0.87004,1,8,0.002343823667615652
343,0,-5.0515,0.86966,1,6,0.0024191506672650576
344,0,-5.0306,0.86928,1,4,0.0021345859859138727
345,0,-5.0101,0.8689,1,2,0.0016362584428861737
346,0,-5.0,0.86852,1,1,0.0026079211384058
347,0,-5.0836,0.86814,1,9,0.001415486098267138
348,0,-5.041,0.86776,1,5,0.0015176066663116217
349,0,-5.0203,0.86738,1,3,0.0028997501358389854
350,0,-5.27,0.867,1,25,0.00200806581415236
351,0,-5.0306,0.86662,1,4,0.0021294080652296543
352,0,-5.0306,0.86624,1,4,0.0021366961300373077
353,0,-5.1055,0.8658600000000001,1,11,0.002638116478919983
354,0,-5.0101,0.86548,1,2,0.0021061478182673454
355,1,-4.6267,0.8651,1,14,0.0015184867661446333
356,0,-5.0,0.86472,1,1,0.0031827727798372507
357,0,-5.0,0.86434,1,1,0.0026826192624866962
358,1,-4.5945,0.8639600000000001,1,11,0.0207759328186512
359,0,-5.0515,0.86358,1,6,0.001997404033318162
360,0,-5.0,0.8632,1,1,0.0023281858302652836
361,0,-5.0945,0.86282,1,10,0.0033799633383750916
362,0,-5.0,0.86244,1,1,0.013605930842459202
363,0,-5.041,0.86206,1,5,0.0025565484538674355
364,0,-5.0,0.86168,1,1,0.0025467516388744116
365,0,-5.0,0.8613,1,1,0.005353267304599285
366,0,-5.0515,0.86092,1,6,0.005385926924645901
367,0,-5.0515,0.86054,1,6,0.005022626370191574
368,0,-5.0203,0.86016,1,3,0.004938104655593634
369,0,-5.0,0.85978,1,1,0.0038888005074113607
370,0,-5.0515,0.8594,1,6,0.006176105234771967
371,0,-5.0515,0.85902,1,6,0.0052359760738909245
372,0,-5.209,0.8586400000000001,1,20,0.004591008648276329
373,0,-5.0836,0.85826,1,9,0.006013793870806694
374,0,-5.0,0.85788,1,1,0.004378367681056261
375,0,-5.0728,0.8575,1,8,0.007593989372253418
376,0,-5.0101,0.85712,1,2,0.015896538272500038
377,1,-4.5722,0.8567400000000001,1,9,0.0214980635792017
378,0,-5.0306,0.85636,1,4,0.011517725884914398
379,0,-5.0306,0.85598,1,4,0.014485346153378487
380,0,-5.0,0.8556,1,1,0.018099093809723854
381,0,-5.0101,0.85522,1,2,0.013732134364545345
382,0,-5.0,0.85484,1,1,0.015807978808879852
383,0,-5.0,0.85446,1,1,0.014853322878479958
384,0,-5.0621,0.85408,1,7,0.01429841946810484
385,0,-5.162,0.8537,1,16,0.005565100349485874
386,0,-5.0306,0.85332,1,4,0.00512087345123291
387,0,-5.041,0.85294,1,5,0.005746509414166212
388,0,-5.0,0.85256,1,1,0.00424974737688899
389,0,-5.0836,0.85218,1,9,0.007753966376185417
390,0,-5.2951,0.8518,1,27,0.005144168622791767
391,0,-5.041,0.8514200000000001,1,5,0.0035854573361575603
392,0,-5.0515,0.85104,1,6,0.00279091764241457
393,0,-5.0836,0.85066,1,9,0.0034561161883175373
394,0,-5.1166,0.85028,1,12,0.006047888658940792
395,0,-5.1055,0.8499,1,11,0.0031932059209793806
396,0,-5.0515,0.84952,1,6,0.007264146581292152
397,0,-5.1278,0.84914,1,13,0.006674273405224085
398,0,-5.0,0.84876,1,1,0.00408773822709918
399,0,-5.0203,0.84838,1,3,0.009337974712252617
400,0,-5.0,0.848,1,1,0.006634509190917015
401,0,-5.0,0.84762,1,1,0.005324747879058123
402,0,-5.0,0.84724,1,1,0.004800618626177311
403,0,-5.0,0.84686,1,1,0.005469038151204586
404,0,-5.0945,0.84648,1,10,0.010520289652049541
405,0,-5.0836,0.8461,1,9,0.0036481579300016165
406,0,-5.0945,0.84572,1,10,0.00480301771312952
407,0,-5.1166,0.84534,1,12,0.004083029925823212
408,0,-5.0621,0.8449599999999999,1,7,0.002700742334127426
409,0,-5.0,0.84458,1,1,0.0033525251783430576
410,0,-5.0101,0.8442000000000001,1,2,0.001906179473735392
