episode,score,return,epsilon,best_score,steps,loss
2006,0,-1.0621,0.23772000000000004,6,7,0.009059510193765163
2007,0,-1.1055,0.2373400000000001,6,11,0.006412927992641926
2008,0,-1.0,0.23696000000000006,6,1,0.008326616138219833
2009,3,1.4579999999999993,0.23658,6,53,0.00795911718159914
2010,1,-0.16200000000000003,0.23619999999999997,6,17,0.008657807484269142
2011,0,-1.0101,0.23582000000000003,6,2,0.006923985667526722
2012,1,-0.06159999999999999,0.2354400000000001,6,8,0.010962016880512238
2013,1,-0.041000000000000036,0.23506000000000005,6,6,0.009524675086140633
2014,0,-1.0515,0.23468,6,6,0.011048831045627594
2015,2,0.9278,0.23429999999999995,6,10,0.009213929064571857
2016,2,0.7881,0.23392000000000002,6,23,0.007935150526463985
2017,0,-1.0,0.23354000000000008,6,1,0.01200016774237156
2018,2,0.7882,0.23316000000000003,6,23,0.009193984791636467
2019,1,0.0,0.2327800000000001,6,2,0.006427132524549961
2020,5,3.5885,0.23239999999999994,6,45,0.006004267372190952
2021,3,1.3688000000000002,0.23202,6,62,0.0054830871522426605
2022,0,-1.0515,0.23164000000000007,6,6,0.009771130979061127
2023,4,2.6429999999999993,0.23126000000000002,6,39,0.008464204147458076
2024,3,1.5658999999999996,0.23088000000000009,6,45,0.007472940720617771
2025,4,2.446699999999999,0.23050000000000004,6,57,0.009098432958126068
2026,3,1.4617000000000004,0.23012,6,53,0.0045713623985648155
2027,3,1.7400000000000002,0.22974000000000006,6,29,0.005309420637786388
2028,0,-1.0945,0.22936,6,10,0.011689554899930954
2029,0,-1.0101,0.22898000000000007,6,2,0.007698021829128265
2030,1,-0.06130000000000002,0.22860000000000003,6,8,0.011580465361475945
2031,4,2.3117999999999994,0.22821999999999998,6,67,0.006690737791359425
2032,0,-1.0306,0.22784000000000004,6,4,0.007212587632238865
2033,0,-1.0728,0.22746,6,8,0.009302427992224693
2034,1,-0.0937,0.22708000000000006,6,11,0.012929709628224373
2035,3,1.6855999999999995,0.22670000000000012,6,34,0.012739723548293114
2036,0,-1.0515,0.22632000000000008,6,6,0.010277222841978073
2037,1,-0.11480000000000001,0.22594000000000003,6,13,0.0050927880220115185
2038,1,-0.2791,0.22555999999999998,6,28,0.009356485679745674
2039,2,0.7127999999999999,0.22518000000000005,6,30,0.006364642176777124
2040,0,-1.0101,0.2248000000000001,6,2,0.009374713525176048
2041,0,-1.0945,0.22442000000000006,6,10,0.008385180495679379
2042,4,2.3059999999999996,0.22404000000000002,6,69,0.005161334294825792
2043,3,1.6399999999999997,0.22365999999999997,6,38,0.005879088304936886
2044,4,2.664999999999999,0.22328000000000003,6,37,0.007111312355846167
2045,1,-0.12429999999999986,0.2229000000000001,6,14,0.010506715625524521
2046,1,-0.2500000000000001,0.22252000000000005,6,25,0.02244909107685089
2047,2,0.6356000000000004,0.22214000000000012,6,37,0.00742132356390357
2048,0,-1.0,0.22175999999999996,6,1,0.006494435481727123
2049,0,-1.041,0.22138000000000002,6,5,0.007436246145516634
2050,2,0.8243000000000003,0.22100000000000009,6,20,0.008287294767796993
2051,0,-1.27,0.22062000000000004,6,25,0.004944310057908297
2052,4,2.6430999999999996,0.2202400000000001,6,39,0.005895738489925861
2053,2,0.7137000000000002,0.21985999999999994,6,30,0.0069150254130363464
2054,1,-0.2145999999999999,0.21948,6,22,0.009943349286913872
2055,0,-1.0945,0.21910000000000007,6,10,0.00892813503742218
2056,3,1.5605999999999995,0.21872000000000003,6,45,0.007147126365453005
2057,0,-1.0728,0.2183400000000001,6,8,0.00815675500780344
2058,2,0.7567999999999999,0.21796000000000004,6,26,0.011895425617694855
2059,2,0.7893000000000001,0.21758,6,23,0.007143224589526653
2060,1,-0.03059999999999996,0.21720000000000006,6,5,0.005713388789445162
2061,1,-0.05149999999999999,0.21682,6,7,0.017241455614566803
2062,0,-1.0,0.21644000000000008,6,1,0.006328295916318893
2063,1,-0.3145000000000001,0.21606000000000003,6,31,0.005142861977219582
