game,score,steps,duration_sec,reason
296,47,829,7.218,self
297,34,597,5.204,self
298,32,493,4.276,wall
299,56,978,8.458,self
300,28,459,3.98,self
301,22,336,2.913,self
302,6,119,1.042,wall
303,11,161,1.39,self
304,62,984,8.543,self
305,15,273,2.399,self
306,15,268,2.34,wall
307,34,559,4.881,self
308,30,572,4.99,self
309,37,670,5.829,self
310,37,668,5.81,self
311,45,798,8.466,self
312,14,246,2.206,self
313,11,143,1.23,wall
314,21,408,3.422,self
315,14,269,2.267,self
316,54,1089,11.433,self
317,31,605,5.366,wall
318,41,848,7.228,self
319,28,616,5.253,self
320,44,810,6.836,self
321,34,653,5.536,self
322,17,253,2.218,self
323,33,591,4.991,self
324,20,289,2.437,self
325,42,853,7.266,wall
326,11,186,1.66,self
327,20,340,2.874,self
328,26,588,4.984,self
329,30,485,4.167,wall
330,44,718,6.059,self
331,22,442,3.749,wall
332,34,513,4.319,self
333,38,682,5.779,wall
334,18,275,2.312,self
335,30,502,4.234,self
336,11,160,1.33,self
337,17,263,2.218,self
338,12,196,1.661,self
339,31,529,4.483,self
340,14,215,1.807,self
341,21,341,2.881,self
342,37,699,5.869,self
343,24,315,2.646,wall
344,0,640,5.396,hunger
345,59,1124,9.436,self
346,48,855,7.207,self
347,19,293,2.466,wall
348,21,420,3.52,self
349,12,201,1.697,wall
350,45,768,6.446,self
351,32,564,4.806,self
352,42,604,5.025,self
353,15,269,2.272,self
354,44,837,7.086,self
355,38,675,5.679,self
356,30,541,4.575,self
357,49,848,7.346,self
358,25,422,3.556,self
359,31,509,4.271,self
360,37,600,5.057,self
361,21,435,3.684,self
362,43,657,5.558,self
363,42,705,6.018,self
364,29,464,3.917,self
365,24,396,3.362,self
366,32,563,4.97,self
367,55,1044,8.933,self
368,65,1358,11.519,self
369,32,485,4.079,self
370,15,239,2.018,wall
371,36,680,5.756,self
372,19,353,2.963,wall
373,27,469,3.984,self
374,17,314,2.685,self
375,41,722,6.097,self
376,4,699,5.895,hunger
377,21,366,3.091,wall
378,30,474,4.066,wall
379,61,1098,9.364,wall
380,35,515,4.423,self
381,51,813,7.117,self
382,29,550,4.925,self
383,52,822,7.154,wall
384,52,850,7.391,self
385,47,809,7.021,self
386,40,697,6.01,self
387,25,436,3.773,self
388,26,461,3.994,self
389,46,815,7.183,wall
390,39,720,6.219,self
391,14,274,2.356,self
392,34,576,4.954,self
393,25,457,3.934,self
394,28,496,4.274,self
395,18,274,2.357,self
396,56,1398,12.045,self
397,47,893,7.915,self
398,34,572,4.915,self
399,60,933,8.06,wall
400,12,202,1.737,self
401,57,1090,9.413,self
402,44,780,6.76,self
403,33,467,4.01,self
404,24,401,3.453,self
405,23,354,3.064,self
406,38,667,5.73,wall
407,33,605,5.216,self
408,29,512,4.424,self
409,27,457,3.936,self
410,18,283,2.424,self
411,0,640,5.526,hunger
412,52,944,8.121,self
413,43,726,6.282,self
414,63,1103,9.629,self
415,27,453,3.911,self
416,40,666,5.727,wall
417,26,426,3.677,self
418,46,772,6.693,self
419,33,535,4.6,self
420,63,1216,10.548,wall
421,26,328,2.845,self
422,63,1092,9.403,self
423,42,1038,8.909,self
424,58,1139,9.759,self
425,53,1037,8.907,self
426,17,272,2.335,self
427,0,640,5.536,hunger
428,15,261,2.62,wall
429,35,603,6.191,self
430,47,725,6.266,self
431,0,640,5.365,hunger
432,6,106,0.882,self
433,8,158,1.32,self
434,32,487,4.653,self
435,44,807,8.186,self
436,65,1188,9.947,wall
437,0,640,5.475,hunger
438,52,1046,9.816,self
439,55,1230,10.386,self
440,31,568,4.842,self
441,54,989,8.304,self
442,56,1005,8.429,self
443,29,480,4.043,self
444,54,978,8.229,self
445,33,620,5.201,self
446,24,430,3.63,self
447,0,640,5.378,hunger
448,31,513,4.317,self
449,30,534,4.506,self
450,0,640,5.414,hunger
451,45,673,5.767,self
452,40,640,6.917,self
453,35,569,6.478,wall
454,24,390,3.394,self
455,61,1144,9.591,self
456,29,434,3.623,self
457,21,341,2.836,self
458,30,436,3.831,self
459,14,208,2.024,self
460,23,329,2.869,wall
461,38,626,5.223,self
462,40,635,5.359,self
463,25,444,3.717,self
464,35,558,4.682,self
465,46,845,7.294,self
466,43,740,6.268,self
467,46,980,8.218,self
468,33,558,4.668,self
469,22,381,3.199,wall
470,41,703,6.087,self
471,31,630,5.275,self
472,0,640,5.751,hunger
473,30,534,4.487,self
474,49,869,7.329,self
475,19,306,2.583,self
476,21,464,3.934,self
477,38,632,5.287,wall
478,9,158,1.32,self
479,47,804,6.74,self
480,24,427,3.55,wall
481,11,195,1.632,wall
482,43,797,6.676,self
483,26,383,3.233,wall
484,44,755,6.334,self
485,29,526,4.422,self
486,54,892,7.474,self
487,18,288,2.422,self
488,25,379,3.184,self
489,37,667,5.625,self
490,0,640,5.377,hunger
491,52,856,7.173,self
492,25,461,3.87,wall
493,33,557,4.667,self
494,45,637,5.336,self
495,39,684,5.768,self
496,17,437,3.667,self
497,51,891,7.457,wall
498,0,640,5.368,hunger
499,17,259,2.183,self
500,35,578,4.839,self
501,74,1205,10.09,wall
502,23,314,2.63,self
503,61,1256,10.492,self
504,44,861,7.17,self
505,31,511,4.301,self
506,50,1005,8.409,wall
507,26,559,4.686,wall
508,27,463,3.892,wall
509,12,285,2.388,self
510,41,713,5.972,self
511,14,209,1.754,wall
512,13,187,1.554,self
513,54,983,8.276,self
514,44,800,6.881,self
515,32,589,5.07,self
516,15,270,2.317,self
517,28,498,4.286,self
518,28,464,4.02,self
519,20,361,3.144,self
520,32,597,5.158,self
521,42,762,6.561,self
522,43,736,6.316,self
523,61,1169,10.201,self
524,0,640,5.567,hunger
525,30,470,4.117,wall
526,36,601,5.173,self
527,59,1168,10.01,self
528,45,824,7.077,self
529,59,1244,10.665,self
530,38,690,5.932,self
531,70,1184,10.196,self
532,0,640,5.541,hunger
533,39,699,6.021,self
534,34,593,5.108,self
535,37,603,5.182,wall
536,27,477,4.118,self
537,21,418,3.597,self
538,0,640,5.508,hunger
539,27,452,3.885,wall
540,59,1048,8.982,self
541,30,600,5.177,self
542,40,630,5.482,self
543,24,430,3.7,self
544,0,640,5.519,hunger
545,35,543,4.924,self
546,27,559,5.232,self
547,14,170,1.459,self
548,29,463,4.001,self
549,58,887,7.612,self
550,34,562,4.827,self
551,30,478,4.112,self
552,37,618,5.306,wall
553,19,288,2.477,self
554,75,1256,10.81,self
555,13,235,2.026,wall
556,30,464,3.98,self
557,47,726,6.247,self
558,21,378,3.257,self
559,25,424,3.649,self
560,27,514,4.421,self
561,39,659,5.66,wall
562,43,746,6.416,wall
563,41,979,8.417,self
564,46,788,6.763,self
565,44,782,6.757,self
566,40,814,7.023,wall
567,19,296,2.552,self
568,34,479,4.145,self
569,25,383,3.299,self
570,27,440,3.776,self
571,27,407,3.514,self
572,39,670,5.772,self
573,24,363,3.135,self
574,72,1209,10.378,self
575,29,402,3.474,self
576,30,405,3.553,self
577,18,383,3.281,self
